"repo_id","commit_sha","number_of_files_changed","total_lines_changed","file_types_changed"
mrdoob/three.js,"0d1e2d738ee5206bea5575e44f63179f38d71405",5,28,{'js'}
rust-lang/rust,"2fc3deed9fcb8762ad57191e0195f06f7543e4a5",4,290,{'rs'}
pytorch/pytorch,"80af98c6c360966b8046e6c340087b788e9a46fd",1,2,{'80af98c6c360966b8046e6c340087b788e9a46fd_third_party_nlohmann'}
pytorch/pytorch,"9258cfc227040d55c2f9f2a52bb60f516e5882f2",1,2,{'github_ci_commit_pins_audio.txt'}
d3/d3,f138b40865cb7e76fdcd6d5bb42ad12664df9638,1,7,{'md'}
microsoft/terminal,"32feec087bde810b75f0acdcd63ea63b86fef1bd",52,3106,{'resw'}
fatedier/frp,e687aef37e18eb5e2d5012982d216990752d3f66,18,450,{'go'}
fatedier/frp,"9757a351c66c89c15812a20e2fbd4f152bdefe9f",3,7,"{'circleci_config.yml','golangci.yml','mod'}"
tailwindlabs/tailwindcss,ed3cecd39dac6e6b08feb6a8f3476f8bf741465e,3,20,"{'md','rs'}"
pytorch/pytorch,cd3d2b75b302858d1935148a421b27400c12569d,1,2,{'md'}
storybookjs/storybook,"503d0512ef95499456f5e47414baf05151bb63dd",1,10,{'ts'}
storybookjs/storybook,"25f8c83991faed4e2ae2f44383ba44c7a3ac4f38",1,5,{'md'}
django/django,"1704c49a9b149b66b6a0e67abc8c95293bc35649",5,99,"{'py','txt','2.2.txt','2.txt'}"
fastapi/fastapi,c83a5bf14975a2aaec0c1ec1a0d14da51e5aaea2,1,1,{'md'}
rustdesk/rustdesk,"527be17eafefefa74fb89ca65554d9b7dd36a5df",2,152,{'md'}
Anduin2017/HowToCook,e2e8cd10dbab70a937ec72640f09db169aafd2f2,1,4,{'md'}
mtdvio/every-programmer-should-know,"75314ea64183616d773b5c88f99ed5c5a2bfa4f7",1,2,{'md'}
iptv-org/iptv,"570f002c0a9647c483069a59bf5f7696a5f24727",1,14,{'m3u'}
supabase/supabase,bb8c3e591bb9e1c24af533fc4b405b7040ba32af,1,2,{'tsx'}
storybookjs/storybook,c5026c8290ce4276a9f15f35d404c9c928b85f53,1,11,{'ts'}
nvbn/thefuck,"1a242c7daa59ddfe787eca0eb54d00afa03c95f8",2,6,"{'github_workflows_test.yml','ini'}"
iluwatar/java-design-patterns,e4681e4a7ca3120f86faf63a324b6b085819ae9a,2,14,"{'all-contributorsrc','md'}"
excalidraw/excalidraw,db2911c6c4c0fa1cc0fe6e2d5e62195d5fbc6612,1,2,{'ts'}
facebook/react-native,cddfe4a035d02908544718ad3bd1e503a388d685,2,64,{'cpp'}
mrdoob/three.js,"0ea870f6d70be2886fa035d204404b5448f3c6a6",5,10,"{'cjs','core.js','core.min.js','json','js'}"
n8n-io/n8n,"90aac9691d6c9784986398a430729bdf42d3244d",3,28,"{'cy.ts','ts'}"
excalidraw/excalidraw,"41a7613dffebd42e1ce41b440be081d4cced9d11",2,66,"{'ts','tsx'}"
puppeteer/puppeteer,"3d764b8f590a58eedd89a04a542d1540430c6c17",6,506,{'json'}
django/django,ad28db666e0884b658f5e240c3d7ee1362688ba1,1,20,{'py'}
supabase/supabase,"363b976e9477c43e2f570239da6b957e5384b15f",5,136,"{'tsx','ts'}"
denoland/deno,"0a5bf5efd0555a010ec47c22188aa6bf31de1975",7,113,"{'ts','jsonc','md','js'}"
ant-design/ant-design,a86da7e3cf6cf7b98749390be8cb8f6bba0eae5d,5,106,"{'test.tsx.snap','tsx','test.ts.snap'}"
ant-design/ant-design,"8dbcea7ef3579a46e04032dbfc5a43b0045ad167",1,7,{'dumi_theme_common_ThemeSwitch_index.tsx'}
d3/d3,"5416b3af999020c59be52f83239bb84fef45cc20",1,2,{'vitepress_config.ts'}
puppeteer/puppeteer,"8c036877d6531c708ebdc62c894f1afb6791c22f",2,90,{'json'}
twbs/bootstrap,c8b471b660d234b2d71270fd4fbe1ae0348d3bbe,2,355,{'json'}
Anduin2017/HowToCook,ea963d131e73daa2fe5b59bdd4e05922c9b1b5e4,1,314,{'github_manual_lint.js'}
microsoft/Web-Dev-For-Beginners,"626a0c0f48237c0a22388ea95c54119f7ee2b1c7",2,603,{'json'}
open-webui/open-webui,d6c3f93cfdacaab4340b7892ce2f0cb799c62cc2,1,9,{'py'}
getify/You-Dont-Know-JS,"6806b5972056ee8d42e63bce3e121f069cef2a05",1,2,{'md'}
